model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
LSTM,4.81,6.449,3.229,3.195,0.9882,0.324,3623.93,6,lag_only,7,45664,2920,lstm
LSTM,2.794,3.927,1.925,1.918,0.9928,0.226,5058.34,7,lag_only,7,48584,2920,lstm
LSTM,9.167,17.301,5.924,5.672,0.858,0.327,5234.23,8,lag_only,7,51504,2920,lstm
LSTM,3.779,4.777,2.86,2.811,0.993,0.279,5573.88,9,lag_only,7,54424,2920,lstm
LSTM,3.585,6.166,3.975,3.18,0.9822,0.279,6115.72,10,lag_only,7,57344,2920,lstm
LSTM,4.688,6.422,3.033,3.047,0.9768,0.356,3358.81,1,zabin_22,22,31064,2920,lstm
LSTM,9.44,17.598,6.34,6.255,0.8225,0.341,3654.44,2,zabin_22,22,33984,2920,lstm
LSTM,3.98,4.974,3.005,2.97,0.9886,0.277,3446.9,3,zabin_22,22,36904,2920,lstm
LSTM,3.018,4.089,2.204,2.206,0.9911,0.256,4386.76,4,zabin_22,22,39824,2920,lstm
LSTM,12.059,22.612,7.545,7.336,0.7504,0.471,4743.34,5,zabin_22,22,42744,2920,lstm
LSTM,3.527,4.657,2.534,2.503,0.9938,0.237,5259.36,6,zabin_22,22,45664,2920,lstm
LSTM,2.85,3.946,1.978,1.974,0.9927,0.23,5185.5,7,zabin_22,22,48584,2920,lstm
LSTM,9.445,17.438,6.218,5.858,0.8558,0.337,5427.43,8,zabin_22,22,51504,2920,lstm
LSTM,3.094,4.021,2.265,2.241,0.9951,0.229,5910.38,9,zabin_22,22,54424,2920,lstm
LSTM,3.836,6.784,4.353,3.374,0.9785,0.299,6368.79,10,zabin_22,22,57344,2920,lstm
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,109.92,1,top_5,5,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,69.96,2,top_5,5,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,92.54,3,top_5,5,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,89.57,4,top_5,5,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,80.55,5,top_5,5,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,193.44,6,top_5,5,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,226.11,7,top_5,5,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,130.43,8,top_5,5,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,84.28,9,top_5,5,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,79.84,10,top_5,5,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,112.68,1,top_10,10,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,64.62,2,top_10,10,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,106.9,3,top_10,10,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,100.84,4,top_10,10,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,89.19,5,top_10,10,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,201.22,6,top_10,10,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,221.46,7,top_10,10,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,136.22,8,top_10,10,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,50.12,9,top_10,10,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,56.78,10,top_10,10,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,76.98,1,top_20,20,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,46.91,2,top_20,20,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,71.4,3,top_20,20,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,76.89,4,top_20,20,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,62.67,5,top_20,20,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,118.42,6,top_20,20,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,138.79,7,top_20,20,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,82.35,8,top_20,20,51504,2920,arima
SARIMA,43.134,50.941,31.319,27.921,0.2071,3.188,50.44,9,top_20,20,54424,2920,arima
SARIMA,67.701,79.697,57.713,93.265,-1.9659,5.276,48.71,10,top_20,20,57344,2920,arima
SARIMA,98.805,115.871,73.66,48.927,-6.5549,7.499,75.28,1,top_30,30,31064,2920,arima
SARIMA,133.823,144.387,90.838,177.53,-10.9516,4.84,42.18,2,top_30,30,33984,2920,arima
SARIMA,105.935,128.419,66.439,117.519,-6.5672,7.376,63.82,3,top_30,30,36904,2920,arima
SARIMA,71.625,86.124,57.615,40.709,-2.9442,6.075,63.7,4,top_30,30,39824,2920,arima
SARIMA,41.681,53.333,23.676,26.897,-0.3883,1.627,55.88,5,top_30,30,42744,2920,arima
SARIMA,112.968,141.438,62.909,108.545,-4.6857,7.604,125.39,6,top_30,30,45664,2920,arima
SARIMA,103.081,108.286,75.048,136.505,-4.5061,8.323,148.59,7,top_30,30,48584,2920,arima
SARIMA,44.166,52.214,29.591,27.76,-0.2931,1.578,76.25,8,top_30,30,51504,2920,arima
