model,MAE,RMSE,MAPE,sMAPE,R2,MASE,train_time_s,fold,subset_name,n_features,train_rows,test_rows,model_key
ElasticNet,8.074,10.328,5.334,5.319,0.9697,0.543,0.03,6,lag_only,7,45664,2920,enet
ElasticNet,6.835,8.859,4.55,4.537,0.9631,0.552,0.02,7,lag_only,7,48584,2920,enet
ElasticNet,13.487,21.099,8.857,8.533,0.7888,0.482,0.04,8,lag_only,7,51504,2920,enet
ElasticNet,7.672,9.802,5.185,5.157,0.9706,0.567,0.04,9,lag_only,7,54424,2920,enet
ElasticNet,7.05,9.815,6.473,5.67,0.955,0.549,0.03,10,lag_only,7,57344,2920,enet
ElasticNet,8.991,12.017,5.896,5.867,0.9187,0.682,0.13,1,zabin_22,22,31064,2920,enet
ElasticNet,17.208,24.258,11.726,11.464,0.6627,0.622,0.14,2,zabin_22,22,33984,2920,enet
ElasticNet,9.303,11.722,6.607,6.565,0.937,0.648,0.15,3,zabin_22,22,36904,2920,enet
ElasticNet,7.988,10.536,5.547,5.506,0.941,0.678,0.16,4,zabin_22,22,39824,2920,enet
ElasticNet,18.003,27.247,11.58,11.103,0.6377,0.703,0.19,5,zabin_22,22,42744,2920,enet
ElasticNet,9.981,12.786,6.565,6.513,0.9535,0.672,0.2,6,zabin_22,22,45664,2920,enet
ElasticNet,8.862,11.444,5.958,5.909,0.9385,0.716,0.24,7,zabin_22,22,48584,2920,enet
ElasticNet,17.216,24.05,11.207,10.955,0.7256,0.615,0.23,8,zabin_22,22,51504,2920,enet
ElasticNet,9.531,12.121,6.39,6.309,0.9551,0.704,0.26,9,zabin_22,22,54424,2920,enet
ElasticNet,8.916,12.524,8.027,7.019,0.9268,0.695,0.3,10,zabin_22,22,57344,2920,enet
LightGBM,3.381,4.901,2.176,2.176,0.9865,0.257,3.57,1,top_5,5,31064,2920,lgb
LightGBM,9.23,18.393,5.995,5.89,0.8061,0.334,1.8,2,top_5,5,33984,2920,lgb
LightGBM,3.433,4.712,2.44,2.427,0.9898,0.239,2.32,3,top_5,5,36904,2920,lgb
LightGBM,2.844,4.042,1.951,1.948,0.9913,0.241,2.65,4,top_5,5,39824,2920,lgb
LightGBM,11.32,23.106,7.114,6.758,0.7394,0.442,1.69,5,top_5,5,42744,2920,lgb
LightGBM,4.034,5.841,2.596,2.588,0.9903,0.272,1.66,6,top_5,5,45664,2920,lgb
LightGBM,3.074,4.432,2.041,2.035,0.9908,0.248,2.06,7,top_5,5,48584,2920,lgb
LightGBM,9.285,18.04,5.92,5.677,0.8456,0.332,2.22,8,top_5,5,51504,2920,lgb
LightGBM,3.489,4.883,2.338,2.324,0.9927,0.258,1.45,9,top_5,5,54424,2920,lgb
LightGBM,3.284,6.317,4.01,2.943,0.9814,0.256,2.12,10,top_5,5,57344,2920,lgb
LightGBM,3.451,5.403,2.222,2.259,0.9836,0.262,2.24,1,top_10,10,31064,2920,lgb
LightGBM,6.062,10.515,3.962,3.975,0.9366,0.219,2.17,2,top_10,10,33984,2920,lgb
LightGBM,2.829,3.826,2.001,2.004,0.9933,0.197,2.13,3,top_10,10,36904,2920,lgb
LightGBM,2.745,3.959,1.869,1.888,0.9917,0.233,2.29,4,top_10,10,39824,2920,lgb
LightGBM,6.266,10.425,3.866,3.822,0.947,0.245,2.56,5,top_10,10,42744,2920,lgb
LightGBM,2.975,4.165,1.958,1.955,0.9951,0.2,3.03,6,top_10,10,45664,2920,lgb
LightGBM,2.75,3.886,1.857,1.867,0.9929,0.222,2.55,7,top_10,10,48584,2920,lgb
LightGBM,5.763,9.581,3.64,3.605,0.9565,0.206,2.7,8,top_10,10,51504,2920,lgb
LightGBM,2.687,3.716,1.822,1.82,0.9958,0.199,3.79,9,top_10,10,54424,2920,lgb
LightGBM,2.95,6.314,3.942,2.766,0.9814,0.23,3.24,10,top_10,10,57344,2920,lgb
LightGBM,3.529,5.106,2.262,2.29,0.9853,0.268,3.36,1,top_20,20,31064,2920,lgb
LightGBM,6.071,10.367,3.983,3.996,0.9384,0.22,3.2,2,top_20,20,33984,2920,lgb
LightGBM,2.897,3.891,2.033,2.038,0.9931,0.202,3.04,3,top_20,20,36904,2920,lgb
LightGBM,2.805,3.957,1.914,1.931,0.9917,0.238,4.05,4,top_20,20,39824,2920,lgb
LightGBM,6.148,10.16,3.782,3.733,0.9496,0.24,3.4,5,top_20,20,42744,2920,lgb
LightGBM,3.007,4.343,1.958,1.958,0.9946,0.202,3.2,6,top_20,20,45664,2920,lgb
LightGBM,2.863,3.93,1.944,1.948,0.9927,0.231,3.37,7,top_20,20,48584,2920,lgb
LightGBM,5.709,9.124,3.649,3.593,0.9605,0.204,3.05,8,top_20,20,51504,2920,lgb
LightGBM,2.7,3.679,1.824,1.822,0.9959,0.2,4.53,9,top_20,20,54424,2920,lgb
LightGBM,3.199,6.919,4.208,2.933,0.9776,0.249,4.96,10,top_20,20,57344,2920,lgb
LightGBM,2.894,4.058,1.876,1.893,0.9907,0.22,6.41,1,top_30,30,31064,2920,lgb
LightGBM,4.679,8.18,3.058,3.062,0.9616,0.169,4.19,2,top_30,30,33984,2920,lgb
LightGBM,2.389,3.193,1.666,1.669,0.9953,0.166,4.44,3,top_30,30,36904,2920,lgb
LightGBM,2.398,3.394,1.641,1.651,0.9939,0.203,3.44,4,top_30,30,39824,2920,lgb
LightGBM,4.493,7.343,2.717,2.71,0.9737,0.175,3.72,5,top_30,30,42744,2920,lgb
LightGBM,2.452,3.619,1.572,1.571,0.9963,0.165,4.36,6,top_30,30,45664,2920,lgb
LightGBM,2.468,3.399,1.684,1.686,0.9946,0.199,4.17,7,top_30,30,48584,2920,lgb
LightGBM,4.159,6.504,2.654,2.63,0.9799,0.149,3.87,8,top_30,30,51504,2920,lgb
LightGBM,2.179,2.96,1.462,1.459,0.9973,0.161,3.77,9,top_30,30,54424,2920,lgb
LightGBM,2.781,6.389,3.896,2.658,0.9809,0.217,4.93,10,top_30,30,57344,2920,lgb
LightGBM,2.322,3.318,1.48,1.491,0.9938,0.176,6.15,1,top_50,50,31064,2920,lgb
LightGBM,4.143,7.434,2.691,2.699,0.9683,0.15,4.58,2,top_50,50,33984,2920,lgb
LightGBM,2.012,2.704,1.408,1.411,0.9966,0.14,4.64,3,top_50,50,36904,2920,lgb
LightGBM,1.877,2.643,1.284,1.289,0.9963,0.159,4.59,4,top_50,50,39824,2920,lgb
LightGBM,4.368,7.2,2.695,2.671,0.9747,0.171,4.88,5,top_50,50,42744,2920,lgb
LightGBM,2.068,3.131,1.306,1.306,0.9972,0.139,5.62,6,top_50,50,45664,2920,lgb
LightGBM,1.881,2.662,1.286,1.285,0.9967,0.152,6.8,7,top_50,50,48584,2920,lgb
LightGBM,3.662,6.016,2.364,2.331,0.9828,0.131,5.28,8,top_50,50,51504,2920,lgb
LightGBM,1.766,2.402,1.178,1.178,0.9982,0.131,5.22,9,top_50,50,54424,2920,lgb
LightGBM,2.261,5.933,3.455,2.273,0.9836,0.176,8.34,10,top_50,50,57344,2920,lgb
LightGBM,1.917,2.735,1.258,1.262,0.9958,0.145,12.81,1,all,115,31064,2920,lgb
LightGBM,3.329,6.193,2.209,2.213,0.978,0.12,11.47,2,all,115,33984,2920,lgb
LightGBM,1.599,2.179,1.13,1.128,0.9978,0.111,13.69,3,all,115,36904,2920,lgb
LightGBM,1.563,2.186,1.09,1.092,0.9975,0.133,12.32,4,all,115,39824,2920,lgb
LightGBM,3.354,5.476,2.086,2.073,0.9854,0.131,12.45,5,all,115,42744,2920,lgb
LightGBM,1.718,2.57,1.093,1.092,0.9981,0.116,13.27,6,all,115,45664,2920,lgb
LightGBM,1.611,2.239,1.117,1.115,0.9976,0.13,13.61,7,all,115,48584,2920,lgb
LightGBM,2.887,4.704,1.86,1.846,0.9895,0.103,15.39,8,all,115,51504,2920,lgb
LightGBM,1.653,2.234,1.102,1.099,0.9985,0.122,19.1,9,all,115,54424,2920,lgb
LightGBM,2.113,6.072,3.436,2.185,0.9828,0.165,19.4,10,all,115,57344,2920,lgb
LightGBM,21.001,28.542,13.337,13.978,0.5416,1.594,2.11,1,calendar_only,8,31064,2920,lgb
LightGBM,31.28,40.241,21.255,21.15,0.0717,1.131,2.01,2,calendar_only,8,33984,2920,lgb
LightGBM,17.648,23.856,12.001,12.009,0.7389,1.229,2.36,3,calendar_only,8,36904,2920,lgb
LightGBM,19.438,26.551,13.951,13.152,0.6251,1.649,2.66,4,calendar_only,8,39824,2920,lgb
LightGBM,31.578,42.644,18.534,19.977,0.1124,1.233,2.78,5,calendar_only,8,42744,2920,lgb
LightGBM,27.125,35.769,15.58,17.21,0.6364,1.826,2.73,6,calendar_only,8,45664,2920,lgb
LightGBM,16.529,22.151,10.687,11.24,0.7696,1.335,3.12,7,calendar_only,8,48584,2920,lgb
LightGBM,33.99,43.812,20.994,21.571,0.0895,1.214,2.79,8,calendar_only,8,51504,2920,lgb
LightGBM,20.008,27.19,12.134,12.871,0.7741,1.479,2.52,9,calendar_only,8,54424,2920,lgb
LightGBM,17.884,28.295,18.134,13.031,0.6262,1.394,4.14,10,calendar_only,8,57344,2920,lgb
LightGBM,3.566,5.344,2.28,2.285,0.9839,0.271,2.44,1,lag_only,7,31064,2920,lgb
LightGBM,9.662,18.338,6.273,6.17,0.8072,0.349,3.22,2,lag_only,7,33984,2920,lgb
LightGBM,3.505,4.795,2.467,2.461,0.9894,0.244,2.85,3,lag_only,7,36904,2920,lgb
LightGBM,2.957,4.167,2.033,2.028,0.9908,0.251,2.34,4,lag_only,7,39824,2920,lgb
LightGBM,11.418,23.332,7.162,6.816,0.7343,0.446,1.89,5,lag_only,7,42744,2920,lgb
LightGBM,4.072,5.739,2.628,2.624,0.9906,0.274,2.08,6,lag_only,7,45664,2920,lgb
LightGBM,3.019,4.253,2.018,2.014,0.9915,0.244,2.56,7,lag_only,7,48584,2920,lgb
LightGBM,9.106,18.024,5.86,5.581,0.8459,0.325,2.17,8,lag_only,7,51504,2920,lgb
LightGBM,3.503,4.85,2.34,2.334,0.9928,0.259,1.94,9,lag_only,7,54424,2920,lgb
LightGBM,3.543,6.828,4.324,3.164,0.9782,0.276,2.73,10,lag_only,7,57344,2920,lgb
LightGBM,3.863,5.899,2.484,2.486,0.9804,0.293,3.59,1,zabin_22,22,31064,2920,lgb
LightGBM,10.945,19.38,7.108,7.014,0.7847,0.396,3.03,2,zabin_22,22,33984,2920,lgb
LightGBM,3.644,4.943,2.578,2.567,0.9888,0.254,2.73,3,zabin_22,22,36904,2920,lgb
LightGBM,3.09,4.6,2.142,2.135,0.9887,0.262,2.71,4,zabin_22,22,39824,2920,lgb
LightGBM,12.261,22.518,7.602,7.388,0.7525,0.479,2.79,5,zabin_22,22,42744,2920,lgb
LightGBM,4.129,5.964,2.622,2.617,0.9899,0.278,3.09,6,zabin_22,22,45664,2920,lgb
LightGBM,3.289,4.81,2.214,2.205,0.9891,0.266,2.74,7,zabin_22,22,48584,2920,lgb
LightGBM,10.624,18.185,6.717,6.542,0.8432,0.379,3.07,8,zabin_22,22,51504,2920,lgb
LightGBM,3.258,4.559,2.183,2.17,0.9936,0.241,3.3,9,zabin_22,22,54424,2920,lgb
LightGBM,3.783,8.08,4.83,3.332,0.9695,0.295,3.79,10,zabin_22,22,57344,2920,lgb
XGBoost,3.526,5.011,2.275,2.276,0.9859,0.268,1.95,1,top_5,5,31064,2920,xgb
XGBoost,9.452,18.877,6.118,6.025,0.7957,0.342,1.93,2,top_5,5,33984,2920,xgb
XGBoost,3.616,4.878,2.577,2.565,0.9891,0.252,2.55,3,top_5,5,36904,2920,xgb
XGBoost,3.028,4.236,2.071,2.069,0.9905,0.257,3.24,4,top_5,5,39824,2920,xgb
XGBoost,11.552,23.532,7.325,6.911,0.7297,0.451,3.88,5,top_5,5,42744,2920,xgb
XGBoost,4.195,5.88,2.742,2.727,0.9902,0.282,3.05,6,top_5,5,45664,2920,xgb
XGBoost,3.245,4.582,2.155,2.15,0.9901,0.262,3.17,7,top_5,5,48584,2920,xgb
XGBoost,9.539,18.441,6.118,5.852,0.8387,0.341,3.58,8,top_5,5,51504,2920,xgb
XGBoost,3.683,4.988,2.489,2.475,0.9924,0.272,3.38,9,top_5,5,54424,2920,xgb
XGBoost,3.496,6.675,4.246,3.108,0.9792,0.272,3.51,10,top_5,5,57344,2920,xgb
XGBoost,3.558,5.356,2.297,2.332,0.9839,0.27,3.56,1,top_10,10,31064,2920,xgb
XGBoost,6.107,10.686,4.002,4.013,0.9345,0.221,3.81,2,top_10,10,33984,2920,xgb
XGBoost,2.902,3.947,2.049,2.052,0.9929,0.202,3.85,3,top_10,10,36904,2920,xgb
XGBoost,2.904,4.116,1.98,2.0,0.991,0.246,3.64,4,top_10,10,39824,2920,xgb
XGBoost,6.348,10.519,3.929,3.881,0.946,0.248,2.92,5,top_10,10,42744,2920,xgb
XGBoost,3.108,4.318,2.058,2.054,0.9947,0.209,3.21,6,top_10,10,45664,2920,xgb
XGBoost,2.848,3.958,1.924,1.935,0.9926,0.23,3.48,7,top_10,10,48584,2920,xgb
XGBoost,6.028,9.939,3.816,3.778,0.9531,0.215,4.7,8,top_10,10,51504,2920,xgb
XGBoost,2.821,3.817,1.922,1.918,0.9955,0.208,4.29,9,top_10,10,54424,2920,xgb
XGBoost,3.191,6.849,4.16,2.942,0.9781,0.249,4.45,10,top_10,10,57344,2920,xgb
XGBoost,3.662,5.189,2.371,2.399,0.9849,0.278,4.56,1,top_20,20,31064,2920,xgb
XGBoost,6.074,10.568,4.002,4.006,0.936,0.22,4.92,2,top_20,20,33984,2920,xgb
XGBoost,3.007,4.017,2.125,2.128,0.9926,0.209,6.84,3,top_20,20,36904,2920,xgb
XGBoost,2.915,4.097,2.0,2.018,0.9911,0.247,5.28,4,top_20,20,39824,2920,xgb
XGBoost,6.193,10.134,3.805,3.769,0.9499,0.242,6.24,5,top_20,20,42744,2920,xgb
XGBoost,3.165,4.495,2.069,2.068,0.9943,0.213,5.81,6,top_20,20,45664,2920,xgb
XGBoost,3.038,4.121,2.077,2.082,0.992,0.245,5.98,7,top_20,20,48584,2920,xgb
XGBoost,5.872,9.411,3.745,3.691,0.958,0.21,6.33,8,top_20,20,51504,2920,xgb
XGBoost,2.771,3.749,1.889,1.885,0.9957,0.205,6.35,9,top_20,20,54424,2920,xgb
XGBoost,3.379,7.076,4.331,3.067,0.9766,0.263,6.31,10,top_20,20,57344,2920,xgb
XGBoost,3.076,4.268,2.004,2.022,0.9898,0.233,6.1,1,top_30,30,31064,2920,xgb
XGBoost,4.867,8.478,3.197,3.196,0.9588,0.176,6.4,2,top_30,30,33984,2920,xgb
XGBoost,2.514,3.397,1.752,1.755,0.9947,0.175,7.43,3,top_30,30,36904,2920,xgb
XGBoost,2.568,3.592,1.762,1.774,0.9931,0.218,7.22,4,top_30,30,39824,2920,xgb
XGBoost,4.549,7.335,2.772,2.764,0.9737,0.178,8.11,5,top_30,30,42744,2920,xgb
XGBoost,2.586,3.76,1.669,1.668,0.996,0.174,7.9,6,top_30,30,45664,2920,xgb
XGBoost,2.623,3.586,1.798,1.802,0.994,0.212,7.45,7,top_30,30,48584,2920,xgb
XGBoost,4.279,6.511,2.75,2.724,0.9799,0.153,7.51,8,top_30,30,51504,2920,xgb
XGBoost,2.267,3.083,1.528,1.525,0.9971,0.167,8.1,9,top_30,30,54424,2920,xgb
XGBoost,3.062,7.053,4.219,2.88,0.9768,0.239,8.55,10,top_30,30,57344,2920,xgb
XGBoost,2.365,3.326,1.524,1.535,0.9938,0.18,8.71,1,top_50,50,31064,2920,xgb
XGBoost,4.283,7.828,2.799,2.8,0.9649,0.155,8.86,2,top_50,50,33984,2920,xgb
XGBoost,2.087,2.812,1.469,1.474,0.9964,0.145,9.37,3,top_50,50,36904,2920,xgb
XGBoost,1.918,2.675,1.314,1.321,0.9962,0.163,11.07,4,top_50,50,39824,2920,xgb
XGBoost,4.226,6.86,2.613,2.59,0.977,0.165,10.87,5,top_50,50,42744,2920,xgb
XGBoost,2.093,3.077,1.343,1.344,0.9973,0.141,12.16,6,top_50,50,45664,2920,xgb
XGBoost,2.053,2.808,1.419,1.418,0.9963,0.166,10.72,7,top_50,50,48584,2920,xgb
XGBoost,3.645,6.066,2.386,2.344,0.9825,0.13,10.61,8,top_50,50,51504,2920,xgb
XGBoost,1.882,2.562,1.259,1.26,0.998,0.139,11.18,9,top_50,50,54424,2920,xgb
XGBoost,2.373,6.005,3.492,2.346,0.9832,0.185,14.28,10,top_50,50,57344,2920,xgb
XGBoost,1.95,2.81,1.28,1.286,0.9956,0.148,20.7,1,all,115,31064,2920,xgb
XGBoost,3.455,6.438,2.311,2.308,0.9762,0.125,19.33,2,all,115,33984,2920,xgb
XGBoost,1.705,2.338,1.202,1.199,0.9975,0.119,20.1,3,all,115,36904,2920,xgb
XGBoost,1.663,2.309,1.161,1.161,0.9972,0.141,24.44,4,all,115,39824,2920,xgb
XGBoost,3.381,5.511,2.092,2.087,0.9852,0.132,17.08,5,all,115,42744,2920,xgb
XGBoost,1.782,2.674,1.145,1.144,0.998,0.12,17.98,6,all,115,45664,2920,xgb
XGBoost,1.758,2.451,1.226,1.224,0.9972,0.142,17.43,7,all,115,48584,2920,xgb
XGBoost,3.028,4.834,1.949,1.932,0.9889,0.108,18.2,8,all,115,51504,2920,xgb
XGBoost,1.796,2.448,1.185,1.185,0.9982,0.133,17.92,9,all,115,54424,2920,xgb
XGBoost,2.286,6.242,3.553,2.304,0.9818,0.178,18.2,10,all,115,57344,2920,xgb
XGBoost,20.169,27.477,12.79,13.511,0.5752,1.531,1.96,1,calendar_only,8,31064,2920,xgb
XGBoost,32.266,41.829,21.954,21.836,-0.003,1.167,2.01,2,calendar_only,8,33984,2920,xgb
XGBoost,18.202,24.539,12.346,12.357,0.7237,1.267,2.01,3,calendar_only,8,36904,2920,xgb
XGBoost,19.117,25.962,13.935,13.034,0.6416,1.621,2.15,4,calendar_only,8,39824,2920,xgb
XGBoost,32.293,43.332,18.94,20.469,0.0836,1.261,2.19,5,calendar_only,8,42744,2920,xgb
XGBoost,26.754,35.004,15.418,16.883,0.6518,1.801,2.4,6,calendar_only,8,45664,2920,xgb
XGBoost,15.978,21.423,10.386,10.792,0.7845,1.29,3.17,7,calendar_only,8,48584,2920,xgb
XGBoost,34.907,44.718,21.219,22.06,0.0515,1.247,2.26,8,calendar_only,8,51504,2920,xgb
XGBoost,19.576,26.491,11.907,12.606,0.7856,1.447,2.45,9,calendar_only,8,54424,2920,xgb
XGBoost,17.903,28.097,18.444,13.191,0.6314,1.395,2.57,10,calendar_only,8,57344,2920,xgb
XGBoost,3.659,5.446,2.346,2.352,0.9833,0.278,2.16,1,lag_only,7,31064,2920,xgb
XGBoost,9.99,19.07,6.479,6.369,0.7915,0.361,2.11,2,lag_only,7,33984,2920,xgb
XGBoost,3.764,5.035,2.661,2.653,0.9884,0.262,2.38,3,lag_only,7,36904,2920,xgb
XGBoost,3.142,4.367,2.163,2.16,0.9899,0.266,2.52,4,lag_only,7,39824,2920,xgb
XGBoost,11.59,23.506,7.305,6.922,0.7303,0.452,2.45,5,lag_only,7,42744,2920,xgb
XGBoost,4.373,6.035,2.84,2.838,0.9896,0.294,2.54,6,lag_only,7,45664,2920,xgb
XGBoost,3.245,4.477,2.168,2.164,0.9906,0.262,2.59,7,lag_only,7,48584,2920,xgb
XGBoost,9.463,18.441,6.083,5.818,0.8387,0.338,2.89,8,lag_only,7,51504,2920,xgb
XGBoost,3.82,5.196,2.56,2.552,0.9917,0.282,2.66,9,lag_only,7,54424,2920,xgb
XGBoost,3.761,6.983,4.518,3.332,0.9772,0.293,3.11,10,lag_only,7,57344,2920,xgb
XGBoost,4.224,6.17,2.746,2.743,0.9786,0.321,4.15,1,zabin_22,22,31064,2920,xgb
XGBoost,11.314,19.435,7.379,7.285,0.7835,0.409,3.53,2,zabin_22,22,33984,2920,xgb
XGBoost,3.909,5.288,2.759,2.75,0.9872,0.272,3.61,3,zabin_22,22,36904,2920,xgb
XGBoost,3.373,4.968,2.337,2.331,0.9869,0.286,3.73,4,zabin_22,22,39824,2920,xgb
XGBoost,12.43,22.569,7.818,7.515,0.7514,0.485,3.73,5,zabin_22,22,42744,2920,xgb
XGBoost,4.628,6.796,2.889,2.891,0.9869,0.312,3.77,6,zabin_22,22,45664,2920,xgb
XGBoost,3.667,5.253,2.47,2.462,0.987,0.296,3.98,7,zabin_22,22,48584,2920,xgb
XGBoost,10.995,18.362,6.952,6.785,0.8401,0.393,4.15,8,zabin_22,22,51504,2920,xgb
XGBoost,3.512,4.909,2.339,2.33,0.9926,0.26,3.99,9,zabin_22,22,54424,2920,xgb
XGBoost,4.085,8.306,5.016,3.547,0.9678,0.318,4.23,10,zabin_22,22,57344,2920,xgb
RandomForest,3.28,4.748,2.119,2.12,0.9873,0.249,14.81,1,top_5,5,31064,2920,rf
RandomForest,9.312,18.362,6.041,5.902,0.8067,0.337,16.03,2,top_5,5,33984,2920,rf
RandomForest,3.168,4.419,2.234,2.227,0.991,0.221,17.13,3,top_5,5,36904,2920,rf
RandomForest,2.616,3.784,1.791,1.79,0.9924,0.222,17.6,4,top_5,5,39824,2920,rf
RandomForest,11.049,22.499,6.887,6.593,0.7529,0.431,18.76,5,top_5,5,42744,2920,rf
RandomForest,3.526,5.027,2.277,2.274,0.9928,0.237,20.73,6,top_5,5,45664,2920,rf
RandomForest,2.761,4.073,1.827,1.823,0.9922,0.223,22.4,7,top_5,5,48584,2920,rf
RandomForest,9.176,17.868,5.861,5.593,0.8486,0.328,23.02,8,top_5,5,51504,2920,rf
RandomForest,3.1,4.339,2.077,2.07,0.9942,0.229,26.64,9,top_5,5,54424,2920,rf
RandomForest,3.139,6.746,4.063,2.846,0.9787,0.245,25.76,10,top_5,5,57344,2920,rf
RandomForest,3.146,4.618,2.019,2.039,0.988,0.239,19.02,1,top_10,10,31064,2920,rf
RandomForest,6.89,12.89,4.482,4.429,0.9048,0.249,20.68,2,top_10,10,33984,2920,rf
RandomForest,2.671,3.655,1.894,1.895,0.9939,0.186,23.4,3,top_10,10,36904,2920,rf
RandomForest,2.48,3.62,1.684,1.696,0.993,0.21,24.73,4,top_10,10,39824,2920,rf
RandomForest,7.215,13.883,4.51,4.345,0.9059,0.282,26.96,5,top_10,10,42744,2920,rf
RandomForest,2.83,3.929,1.86,1.859,0.9956,0.191,28.31,6,top_10,10,45664,2920,rf
RandomForest,2.345,3.442,1.566,1.57,0.9944,0.189,29.97,7,top_10,10,48584,2920,rf
RandomForest,6.204,11.224,4.026,3.884,0.9402,0.222,32.87,8,top_10,10,51504,2920,rf
RandomForest,2.478,3.384,1.688,1.684,0.9965,0.183,34.52,9,top_10,10,54424,2920,rf
RandomForest,2.803,6.539,3.931,2.641,0.98,0.218,36.34,10,top_10,10,57344,2920,rf
RandomForest,3.524,5.048,2.264,2.285,0.9857,0.267,24.43,1,top_20,20,31064,2920,rf
RandomForest,7.216,12.728,4.659,4.643,0.9071,0.261,26.27,2,top_20,20,33984,2920,rf
RandomForest,2.901,3.913,2.046,2.048,0.993,0.202,28.9,3,top_20,20,36904,2920,rf
RandomForest,2.75,4.0,1.855,1.871,0.9915,0.233,31.68,4,top_20,20,39824,2920,rf
RandomForest,7.557,13.609,4.637,4.532,0.9096,0.295,34.79,5,top_20,20,42744,2920,rf
RandomForest,2.986,4.09,1.953,1.952,0.9952,0.201,36.6,6,top_20,20,45664,2920,rf
RandomForest,2.57,3.666,1.724,1.727,0.9937,0.208,39.04,7,top_20,20,48584,2920,rf
RandomForest,6.582,10.91,4.247,4.131,0.9435,0.235,41.05,8,top_20,20,51504,2920,rf
RandomForest,2.62,3.561,1.77,1.765,0.9961,0.194,46.57,9,top_20,20,54424,2920,rf
RandomForest,3.085,7.118,4.29,2.873,0.9763,0.24,48.14,10,top_20,20,57344,2920,rf
RandomForest,3.721,5.405,2.39,2.416,0.9836,0.282,29.07,1,top_30,30,31064,2920,rf
RandomForest,6.096,9.953,3.942,3.96,0.9432,0.22,30.72,2,top_30,30,33984,2920,rf
RandomForest,2.744,3.722,1.908,1.912,0.9936,0.191,33.0,3,top_30,30,36904,2920,rf
RandomForest,2.83,4.14,1.891,1.91,0.9909,0.24,36.98,4,top_30,30,39824,2920,rf
RandomForest,6.155,10.201,3.717,3.693,0.9492,0.24,38.73,5,top_30,30,42744,2920,rf
RandomForest,2.801,3.861,1.816,1.813,0.9958,0.189,41.19,6,top_30,30,45664,2920,rf
RandomForest,2.695,3.792,1.809,1.814,0.9932,0.218,46.63,7,top_30,30,48584,2920,rf
RandomForest,5.671,8.669,3.596,3.554,0.9644,0.203,48.44,8,top_30,30,51504,2920,rf
RandomForest,2.462,3.415,1.651,1.646,0.9964,0.182,50.56,9,top_30,30,54424,2920,rf
RandomForest,3.126,7.268,4.356,2.922,0.9753,0.244,54.97,10,top_30,30,57344,2920,rf
RandomForest,3.226,4.813,2.033,2.056,0.987,0.245,34.89,1,top_50,50,31064,2920,rf
RandomForest,5.441,9.101,3.488,3.507,0.9525,0.197,37.45,2,top_50,50,33984,2920,rf
RandomForest,2.414,3.308,1.654,1.658,0.995,0.168,46.74,3,top_50,50,36904,2920,rf
RandomForest,2.444,3.603,1.613,1.627,0.9931,0.207,47.4,4,top_50,50,39824,2920,rf
RandomForest,5.579,9.26,3.357,3.338,0.9582,0.218,50.92,5,top_50,50,42744,2920,rf
RandomForest,2.48,3.518,1.572,1.571,0.9965,0.167,52.38,6,top_50,50,45664,2920,rf
RandomForest,2.298,3.242,1.531,1.532,0.9951,0.186,59.31,7,top_50,50,48584,2920,rf
RandomForest,4.87,7.679,3.08,3.044,0.972,0.174,64.54,8,top_50,50,51504,2920,rf
RandomForest,2.137,2.978,1.42,1.417,0.9973,0.158,65.72,9,top_50,50,54424,2920,rf
RandomForest,2.777,7.218,4.142,2.671,0.9757,0.216,72.68,10,top_50,50,57344,2920,rf
RandomForest,3.746,5.42,2.362,2.391,0.9835,0.284,44.34,1,all,115,31064,2920,rf
RandomForest,5.6,8.895,3.58,3.612,0.9546,0.203,48.7,2,all,115,33984,2920,rf
RandomForest,2.586,3.549,1.759,1.764,0.9942,0.18,53.98,3,all,115,36904,2920,rf
RandomForest,2.779,4.037,1.824,1.841,0.9913,0.236,59.98,4,all,115,39824,2920,rf
RandomForest,5.715,9.029,3.405,3.409,0.9602,0.223,61.79,5,all,115,42744,2920,rf
RandomForest,2.787,3.96,1.747,1.746,0.9955,0.188,66.93,6,all,115,45664,2920,rf
RandomForest,2.607,3.599,1.737,1.739,0.9939,0.211,72.67,7,all,115,48584,2920,rf
RandomForest,5.094,7.634,3.175,3.154,0.9724,0.182,77.17,8,all,115,51504,2920,rf
RandomForest,2.342,3.248,1.542,1.536,0.9968,0.173,80.91,9,all,115,54424,2920,rf
RandomForest,3.138,8.482,4.757,2.946,0.9664,0.245,85.85,10,all,115,57344,2920,rf
RandomForest,20.795,28.871,13.313,13.665,0.531,1.578,5.81,1,calendar_only,8,31064,2920,rf
RandomForest,31.238,41.683,20.889,21.036,0.0039,1.13,6.19,2,calendar_only,8,33984,2920,rf
RandomForest,18.311,25.544,12.439,12.354,0.7006,1.275,6.62,3,calendar_only,8,36904,2920,rf
RandomForest,20.695,27.951,14.901,13.914,0.5846,1.755,7.31,4,calendar_only,8,39824,2920,rf
RandomForest,31.795,43.143,18.619,20.145,0.0916,1.241,7.9,5,calendar_only,8,42744,2920,rf
RandomForest,28.524,38.061,16.584,18.376,0.5883,1.92,8.09,6,calendar_only,8,45664,2920,rf
RandomForest,17.211,22.983,11.281,11.9,0.752,1.39,9.31,7,calendar_only,8,48584,2920,rf
RandomForest,34.804,44.266,21.425,22.078,0.0706,1.243,9.15,8,calendar_only,8,51504,2920,rf
