model,subset,n_features,n_folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
mlp,top_20,20,10,4.086,2.1346,6.7014,4.5769,2.8473,1.2443,0.9679,0.0433
mlp,top_5,5,10,4.9267,3.1878,8.9269,7.1997,3.4318,1.9829,0.9368,0.0901
mlp,lag_only,7,10,5.1558,3.1186,9.1643,7.1997,3.5649,1.9457,0.935,0.0922
mlp,zabin_22,22,10,6.4362,3.6459,10.1403,7.2509,4.5984,2.2903,0.925,0.1015
mlp,calendar_only,8,10,23.3315,8.4891,31.8547,11.9939,15.465,4.9307,0.4611,0.4634
naive,all,115,10,8.9631,2.2851,14.2035,6.7553,5.9799,1.414,0.8826,0.1228
naive,calendar_only,8,10,8.9631,2.2851,14.2035,6.7553,5.9799,1.414,0.8826,0.1228
naive,lag_only,7,10,8.9631,2.2851,14.2035,6.7553,5.9799,1.414,0.8826,0.1228
naive,zabin_22,22,10,8.9631,2.2851,14.2035,6.7553,5.9799,1.414,0.8826,0.1228
rf,top_50,50,10,3.3666,1.3753,5.472,2.5617,2.389,1.0169,0.9822,0.0167
rf,all,115,10,3.6394,1.3273,5.7853,2.4409,2.5888,1.0826,0.9809,0.0161
rf,top_30,30,10,3.8301,1.5215,6.0426,2.731,2.7076,1.0633,0.9786,0.0199
rf,top_10,10,10,3.9062,2.0034,6.7184,4.2529,2.766,1.2842,0.9692,0.0376
rf,top_20,20,10,4.1791,2.0589,6.8643,4.0188,2.9445,1.3174,0.9692,0.0357
rf,top_5,5,10,5.1127,3.3125,9.1865,7.3129,3.5177,2.0157,0.9337,0.0933
rf,lag_only,7,10,5.6265,3.4402,9.6319,7.1606,3.8862,2.1024,0.9307,0.0937
rf,zabin_22,22,10,6.7469,4.3563,10.6833,7.1983,4.67,2.6675,0.9195,0.1016
rf,calendar_only,8,10,24.6979,6.3724,33.5597,7.7091,16.271,3.5399,0.4567,0.2852
ridge,top_50,50,10,4.8257,1.0961,6.8876,2.2636,3.4319,0.7694,0.9747,0.0198
ridge,all,115,10,4.8692,1.0147,6.8843,2.0825,3.5656,0.8518,0.9753,0.0178
ridge,top_30,30,10,5.2161,1.3093,7.4186,2.6517,3.7153,0.8012,0.9702,0.025
ridge,top_20,20,10,6.6512,2.9154,10.3142,6.5192,4.5551,1.7156,0.9284,0.0895
ridge,top_10,10,10,6.9652,3.429,11.3307,7.9852,4.7566,2.0429,0.9077,0.123
ridge,top_5,5,10,7.5116,3.1236,12.1674,7.9451,5.0902,1.9311,0.8991,0.1293
ridge,lag_only,7,10,7.6403,3.1978,12.1772,7.7159,5.2172,1.9826,0.9006,0.1251
ridge,zabin_22,22,10,9.5646,4.6064,14.0292,8.0735,6.5361,2.8176,0.874,0.1482
ridge,calendar_only,8,10,36.2068,5.1715,46.0012,5.7264,24.1124,3.7421,0.0446,0.1809
rnn,all,115,10,11.2803,2.5887,15.8262,4.9031,7.6186,1.6152,0.8731,0.0928
rnn,calendar_only,8,10,11.2803,2.5887,15.8262,4.9031,7.6186,1.6152,0.8731,0.0928
